GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Thu Oct 26 09:30:01 EET 2017

Main Iterations


Simulation Number	Main Iteration	Step Number	f(x)	c1	c2	cs1	cs2	RPar	RSer
129	16	1	0.4319652454660086	0.005418	6.87E-4	0.762	0.00362	262.0	0.0052	Global search reduced cost.
138	17	1	0.4282893376107075	0.005419	6.84E-4	0.7636	0.003636	263.6	0.00515	Global search reduced cost.
147	18	1	0.4241271340059703	0.00542	6.81E-4	0.7653	0.003653	265.3	0.00509	Global search reduced cost.
155	19	1	0.41937731328117434	0.005421	6.77E-4	0.7671	0.003671	267.1	0.00502	Global search reduced cost.
163	20	1	0.41435884209142493	0.005422	6.72E-4	0.769	0.00369	269.0	0.00494	Global search reduced cost.
172	21	1	0.4089482318004722	0.005423	6.67E-4	0.771	0.00371	271.0	0.00485	Global search reduced cost.
181	22	1	0.40316715220886995	0.005424	6.62E-4	0.7731	0.003731	273.1	0.00475	Global search reduced cost.
189	23	1	0.3972064252169387	0.005425	6.56E-4	0.7753	0.003753	275.3	0.00464	Global search reduced cost.
197	24	1	0.39109613365397405	0.005426	6.49E-4	0.7776	0.003776	277.6	0.00452	Global search reduced cost.
206	25	1	0.3851881041720347	0.005427	6.42E-4	0.78	0.0038	280.0	0.00439	Global search reduced cost.
214	26	1	0.3794993420665322	0.005428	6.35E-4	0.7825	0.003825	282.5	0.00426	Global search reduced cost.
224	27	1	0.3741639060865562	0.005429	6.28E-4	0.7851	0.003851	285.1	0.00413	Global search reduced cost.
234	28	1	0.3688716456187645	0.005431	6.2E-4	0.7878	0.003878	287.8	0.00399	Global search reduced cost.
243	29	1	0.3641391993297177	0.005433	6.11E-4	0.7906	0.003906	290.6	0.00386	Global search reduced cost.
251	30	1	0.359784074174044	0.005436	6.02E-4	0.7935	0.003935	293.5	0.00374	Global search reduced cost.
259	31	1	0.35487625093073066	0.005439	5.92E-4	0.7965	0.003965	296.5	0.00363	Global search reduced cost.
267	32	1	0.3499145306492127	0.005441	5.81E-4	0.7996	0.003996	299.6	0.00353	Global search reduced cost.
276	33	1	0.3444586368718805	0.005444	5.71E-4	0.8028	0.004028	302.8	0.00344	Global search reduced cost.
283	34	1	0.33910742934508514	0.005448	5.62E-4	0.8061	0.004061	306.1	0.00336	Global search reduced cost.
291	35	1	0.3332030785446968	0.005453	5.52E-4	0.8095	0.004095	309.5	0.00329	Global search reduced cost.
299	36	1	0.32787750104425795	0.005457	5.41E-4	0.813	0.00413	313.0	0.00323	Global search reduced cost.
308	37	1	0.32320731210234027	0.005462	5.29E-4	0.8166	0.004165	316.6	0.00318	Global search reduced cost.
316	38	1	0.31940821935873037	0.005467	5.18E-4	0.8203	0.004201	320.3	0.00313	Global search reduced cost.
327	39	1	0.3164042038787907	0.005472	5.08E-4	0.8241	0.004238	324.1	0.00307	Global search reduced cost.
337	40	1	0.3142236620803719	0.005476	4.98E-4	0.828	0.004274	328.0	0.003	Global search reduced cost.
344	41	1	0.3131136135915275	0.00548	4.89E-4	0.832	0.004309	332.0	0.00293	Global search reduced cost.
362	42	1	0.31305068918802575	0.00548	4.89E-4	0.8321	0.004308	332.1	0.00293	Local search reduced cost.
372	43	1	0.3129265004678767	0.00548	4.89E-4	0.8323	0.004306	332.3	0.00293	Global search reduced cost.
382	44	1	0.312738195221459	0.00548	4.89E-4	0.8326	0.004303	332.6	0.00293	Global search reduced cost.
392	45	1	0.31249744494896364	0.00548	4.88E-4	0.833	0.004299	333.0	0.00293	Global search reduced cost.
402	46	1	0.312277553841263	0.005479	4.88E-4	0.8335	0.004295	333.5	0.00293	Global search reduced cost.
413	47	1	0.31207091976354884	0.005478	4.88E-4	0.8341	0.004291	334.1	0.00293	Global search reduced cost.
423	48	1	0.3118572554721719	0.005477	4.88E-4	0.8348	0.004286	334.8	0.00293	Global search reduced cost.
431	49	1	0.31180412003273866	0.005475	4.89E-4	0.8356	0.00428	335.6	0.00293	Global search reduced cost.
451	50	1	0.3117807716952247	0.005475	4.89E-4	0.8357	0.00428	335.7	0.00293	Local search reduced cost.
462	51	1	0.3117348242002041	0.005475	4.89E-4	0.8359	0.00428	335.9	0.00293	Global search reduced cost.
473	52	1	0.3116677476156718	0.005475	4.89E-4	0.8362	0.00428	336.2	0.00293	Global search reduced cost.
484	53	1	0.311581685423746	0.005475	4.89E-4	0.8366	0.00428	336.6	0.00293	Global search reduced cost.
494	54	1	0.31130805856236865	0.005476	4.9E-4	0.8371	0.004279	337.1	0.00292	Global search reduced cost.
502	55	1	0.31067753694316036	0.005478	4.91E-4	0.8377	0.004277	337.7	0.0029	Global search reduced cost.
511	56	1	0.31034776301729305	0.005479	4.91E-4	0.8384	0.004274	338.4	0.00287	Global search reduced cost.
520	57	1	0.31012074272084567	0.005479	4.9E-4	0.8392	0.004272	339.2	0.00285	Global search reduced cost.
527	58	1	0.30966901891582843	0.005478	4.88E-4	0.8401	0.004271	340.1	0.00284	Global search reduced cost.
536	59	1	0.30932651161152774	0.005478	4.85E-4	0.8411	0.004269	341.1	0.00284	Global search reduced cost.
544	60	1	0.30876560569859046	0.005478	4.83E-4	0.8422	0.004266	342.2	0.00284	Global search reduced cost.
554	61	1	0.3083646719753695	0.005479	4.81E-4	0.8434	0.004263	343.4	0.00284	Global search reduced cost.
564	62	1	0.3079272063492558	0.00548	4.79E-4	0.8447	0.004259	344.7	0.00284	Global search reduced cost.
573	63	1	0.3074745881330445	0.00548	4.78E-4	0.8461	0.004254	346.1	0.00284	Global search reduced cost.
583	64	1	0.30699178894673834	0.00548	4.77E-4	0.8476	0.004248	347.6	0.00284	Global search reduced cost.
594	65	1	0.30643716039583263	0.005481	4.76E-4	0.8492	0.004241	349.2	0.00285	Global search reduced cost.
602	66	1	0.3058673246829996	0.005482	4.74E-4	0.8509	0.004233	350.9	0.00286	Global search reduced cost.
611	67	1	0.3052606397244545	0.005483	4.71E-4	0.8527	0.004224	352.7	0.00287	Global search reduced cost.
623	68	1	0.30461216908379124	0.005484	4.68E-4	0.8546	0.004214	354.6	0.00287	Global search reduced cost.
632	69	1	0.30394743048596257	0.005484	4.65E-4	0.8566	0.004204	356.6	0.00287	Global search reduced cost.
644	70	1	0.3032170051513597	0.005485	4.63E-4	0.8587	0.004193	358.7	0.00288	Global search reduced cost.
653	71	1	0.3024507430802609	0.005486	4.6E-4	0.8609	0.004181	360.9	0.0029	Global search reduced cost.
661	72	1	0.30165025188623057	0.005487	4.58E-4	0.8632	0.004168	363.2	0.00292	Global search reduced cost.
670	73	1	0.30085457719404674	0.005489	4.55E-4	0.8656	0.004154	365.6	0.00294	Global search reduced cost.
679	74	1	0.30003341409808315	0.005491	4.51E-4	0.8681	0.004139	368.1	0.00296	Global search reduced cost.
689	75	1	0.2991770692443772	0.005493	4.46E-4	0.8706	0.004123	370.7	0.00298	Global search reduced cost.
698	76	1	0.29823486031107027	0.005495	4.4E-4	0.8732	0.004106	373.4	0.003	Global search reduced cost.
707	77	1	0.29720248613964606	0.005497	4.33E-4	0.8759	0.004088	376.2	0.00302	Global search reduced cost.
718	78	1	0.29609561150310126	0.005499	4.25E-4	0.8787	0.004069	379.1	0.00303	Global search reduced cost.
728	79	1	0.2949347602394872	0.0055	4.17E-4	0.8816	0.004049	382.1	0.00305	Global search reduced cost.
739	80	1	0.2938661536786998	0.005501	4.1E-4	0.8846	0.004029	385.2	0.00306	Global search reduced cost.
746	81	1	0.2929750010711201	0.005501	4.04E-4	0.8877	0.004009	388.4	0.00307	Global search reduced cost.
757	82	1	0.2920779625024446	0.005502	3.99E-4	0.8909	0.003988	391.7	0.00309	Global search reduced cost.
764	83	1	0.290679056875698	0.005504	3.95E-4	0.8942	0.003966	395.1	0.00312	Global search reduced cost.
771	84	1	0.28914296035842246	0.005507	3.92E-4	0.8976	0.003943	398.6	0.00316	Global search reduced cost.
779	85	1	0.2877784218936378	0.005509	3.89E-4	0.9011	0.003919	402.2	0.0032	Global search reduced cost.
788	86	1	0.2864195775489643	0.00551	3.86E-4	0.9047	0.003894	405.9	0.00324	Global search reduced cost.
798	87	1	0.28502151581024476	0.005511	3.83E-4	0.9084	0.003868	409.7	0.00328	Global search reduced cost.
809	88	1	0.2835962813924294	0.005512	3.8E-4	0.9122	0.003842	413.6	0.00332	Global search reduced cost.
822	89	1	0.28214034621602657	0.005513	3.77E-4	0.9161	0.003816	417.6	0.00335	Global search reduced cost.
829	90	1	0.2805132213512404	0.005513	3.75E-4	0.9201	0.003789	421.7	0.00337	Global search reduced cost.
837	91	1	0.2788361620690856	0.005513	3.74E-4	0.9242	0.003761	425.9	0.00338	Global search reduced cost.
845	92	1	0.277247244792759	0.005512	3.74E-4	0.9284	0.003732	430.2	0.0034	Global search reduced cost.
853	93	1	0.27550540622754693	0.005511	3.75E-4	0.9327	0.003702	434.6	0.00343	Global search reduced cost.
861	94	1	0.27348784282895133	0.005511	3.77E-4	0.9371	0.003671	439.1	0.00347	Global search reduced cost.
869	95	1	0.2712154218880227	0.005512	3.79E-4	0.9416	0.00364	443.7	0.00351	Global search reduced cost.
881	96	1	0.26938591484265034	0.005512	3.8E-4	0.9462	0.00361	448.4	0.00356	Global search reduced cost.
891	97	1	0.26751344872528243	0.005512	3.8E-4	0.9509	0.003579	453.2	0.0036	Global search reduced cost.
902	98	1	0.2654831665830037	0.005512	3.81E-4	0.9556	0.003547	458.1	0.00365	Global search reduced cost.
912	99	1	0.26385856650064504	0.005512	3.81E-4	0.9604	0.003514	463.1	0.00369	Global search reduced cost.
920	100	1	0.2618808348011257	0.005512	3.81E-4	0.9653	0.00348	468.2	0.00373	Global search reduced cost.
929	101	1	0.2598022659172655	0.005511	3.8E-4	0.9703	0.003445	473.4	0.00376	Global search reduced cost.
936	102	1	0.2574489368113975	0.005509	3.79E-4	0.9754	0.003409	478.7	0.00379	Global search reduced cost.
946	103	1	0.25532313393249123	0.005508	3.79E-4	0.9806	0.003372	484.1	0.00382	Global search reduced cost.
955	104	1	0.25293582405723486	0.005508	3.8E-4	0.9859	0.003335	489.6	0.00385	Global search reduced cost.
966	105	1	0.2505715237590682	0.005507	3.8E-4	0.9913	0.003297	495.2	0.00387	Global search reduced cost.
977	106	1	0.24826760811363893	0.005506	3.8E-4	0.9968	0.00326	500.9	0.0039	Global search reduced cost.
985	107	1	0.24583522236097421	0.005506	3.79E-4	1.0024	0.003224	506.7	0.00394	Global search reduced cost.
992	108	1	0.24324863658517615	0.005507	3.77E-4	1.0081	0.003189	512.6	0.00399	Global search reduced cost.
1000	109	1	0.24077449720035954	0.005509	3.74E-4	1.0138	0.003153	518.6	0.00404	Global search reduced cost.
1012	110	1	0.2384528375137104	0.005511	3.71E-4	1.0195	0.003117	524.7	0.00409	Global search reduced cost.
1023	111	1	0.2361743415447515	0.005512	3.68E-4	1.0253	0.00308	530.9	0.00415	Global search reduced cost.
1031	112	1	0.23349495271152523	0.005512	3.65E-4	1.0311	0.003042	537.2	0.00421	Global search reduced cost.
1040	113	1	0.2310088217358317	0.005511	3.63E-4	1.037	0.003003	543.6	0.00427	Global search reduced cost.
1049	114	1	0.22855802831471828	0.005511	3.62E-4	1.043	0.002963	550.1	0.00433	Global search reduced cost.
1059	115	1	0.22608415163642523	0.005511	3.61E-4	1.0491	0.002922	556.7	0.00439	Global search reduced cost.
1069	116	1	0.22366811763104888	0.005512	3.61E-4	1.0553	0.00288	563.4	0.00444	Global search reduced cost.
1078	117	1	0.22034972051528315	0.005512	3.62E-4	1.0615	0.002838	570.2	0.00449	Global search reduced cost.
1089	118	1	0.2176064200726237	0.005512	3.62E-4	1.0678	0.002795	577.1	0.00453	Global search reduced cost.
1097	119	1	0.21435504272632977	0.005511	3.62E-4	1.0742	0.002751	584.1	0.00456	Global search reduced cost.
1106	120	1	0.2109453265447564	0.00551	3.62E-4	1.0807	0.002706	591.2	0.00458	Global search reduced cost.
1115	121	1	0.20746563813125354	0.00551	3.62E-4	1.0873	0.002661	598.4	0.0046	Global search reduced cost.
1127	122	1	0.20425935426566524	0.005509	3.61E-4	1.094	0.002616	605.7	0.00463	Global search reduced cost.
1137	123	1	0.2006252235317755	0.005508	3.6E-4	1.1008	0.002572	613.1	0.00467	Global search reduced cost.
1147	124	1	0.19735783857832784	0.005508	3.6E-4	1.1077	0.002527	620.6	0.00472	Global search reduced cost.
1156	125	1	0.19394523712265538	0.005508	3.59E-4	1.1147	0.002481	628.2	0.00478	Global search reduced cost.
1164	126	1	0.19097582453910894	0.005509	3.57E-4	1.1217	0.002435	635.9	0.00484	Global search reduced cost.
1173	127	1	0.18762968679514638	0.005509	3.54E-4	1.1288	0.002388	643.7	0.0049	Global search reduced cost.
1184	128	1	0.1845109335891274	0.005508	3.51E-4	1.136	0.00234	651.6	0.00495	Global search reduced cost.
1193	129	1	0.18075489796267802	0.005508	3.49E-4	1.1433	0.002291	659.6	0.00499	Global search reduced cost.
1199	130	1	0.17664242838121685	0.005509	3.48E-4	1.1507	0.002241	667.7	0.00503	Global search reduced cost.
1211	131	1	0.17285120573593235	0.005509	3.48E-4	1.1582	0.002191	675.9	0.00508	Global search reduced cost.
1220	132	1	0.168957385381254	0.00551	3.48E-4	1.1657	0.00214	684.2	0.00513	Global search reduced cost.
1232	133	1	0.1650651902954207	0.00551	3.47E-4	1.1733	0.00209	692.6	0.00519	Global search reduced cost.
1241	134	1	0.16108313576257322	0.005509	3.46E-4	1.1809	0.002039	701.1	0.00525	Global search reduced cost.
1253	135	1	0.1566569232916574	0.005507	3.45E-4	1.1886	0.001988	709.7	0.0053	Global search reduced cost.
1262	136	1	0.1525078512770969	0.005506	3.45E-4	1.1964	0.001936	718.4	0.00534	Global search reduced cost.
1270	137	1	0.14826305575999696	0.005506	3.46E-4	1.2043	0.001883	727.2	0.00539	Global search reduced cost.
1278	138	1	0.14434322830821808	0.005505	3.48E-4	1.2123	0.001829	736.1	0.00545	Global search reduced cost.
1287	139	1	0.1398900613922164	0.005504	3.5E-4	1.2204	0.001775	745.1	0.00551	Global search reduced cost.
1297	140	1	0.13554224371026358	0.005503	3.51E-4	1.2286	0.00172	754.2	0.00557	Global search reduced cost.
1309	141	1	0.13118729067226337	0.005502	3.52E-4	1.2369	0.001664	763.4	0.00562	Global search reduced cost.
1317	142	1	0.1271145116956637	0.0055	3.53E-4	1.2453	0.001608	772.7	0.00567	Global search reduced cost.
1329	143	1	0.12285829347313307	0.005499	3.55E-4	1.2538	0.001551	782.1	0.00573	Global search reduced cost.
1336	144	1	0.11831804499682096	0.005499	3.56E-4	1.2624	0.001493	791.6	0.00579	Global search reduced cost.
1345	145	1	0.11373210119926015	0.005499	3.56E-4	1.2711	0.001434	801.2	0.00585	Global search reduced cost.
1355	146	1	0.10916890414865169	0.005499	3.55E-4	1.2799	0.001374	810.9	0.00592	Global search reduced cost.
1363	147	1	0.10470192873784921	0.0055	3.53E-4	1.2888	0.001313	820.7	0.00598	Global search reduced cost.
1370	148	1	0.10051923246178852	0.0055	3.5E-4	1.2978	0.001251	830.6	0.00604	Global search reduced cost.
1378	149	1	0.0955315657488119	0.005499	3.46E-4	1.3069	0.001188	840.6	0.0061	Global search reduced cost.
1388	150	1	0.09121182633502267	0.005499	3.43E-4	1.3161	0.001124	850.7	0.00616	Global search reduced cost.
1398	151	1	0.08705728168774803	0.005499	3.41E-4	1.3254	0.001061	860.9	0.00622	Global search reduced cost.
1404	152	1	0.08308253045323057	0.005499	3.4E-4	1.3347	9.98E-4	871.1	0.00628	Global search reduced cost.
1419	153	1	0.0794037799631319	0.005498	3.4E-4	1.3441	9.36E-4	881.4	0.00634	Global search reduced cost.
1430	154	1	0.07595594506760107	0.005497	3.4E-4	1.3536	8.75E-4	891.8	0.00639	Global search reduced cost.
1438	155	1	0.07306521100163182	0.005495	3.4E-4	1.3632	8.14E-4	902.3	0.00644	Global search reduced cost.
1447	156	1	0.07062997505835196	0.005494	3.41E-4	1.3729	7.54E-4	912.9	0.00649	Global search reduced cost.
1459	157	1	0.06760560676421927	0.005494	3.42E-4	1.3827	6.95E-4	923.4	0.00655	Global search reduced cost.
1469	158	1	0.06546343667621013	0.005494	3.42E-4	1.3926	6.37E-4	933.8	0.0066	Global search reduced cost.
1477	159	1	0.06404878602455552	0.005494	3.42E-4	1.4026	5.8E-4	944.1	0.00665	Global search reduced cost.
1487	160	1	0.06314834642437607	0.005493	3.41E-4	1.4127	5.24E-4	954.3	0.00669	Global search reduced cost.
1495	161	1	0.06241610434821703	0.005491	3.41E-4	1.4229	4.69E-4	964.4	0.00672	Global search reduced cost.
1512	162	1	0.06236073788242717	0.005491	3.41E-4	1.423	4.7E-4	964.3	0.00672	Local search reduced cost.
1524	163	1	0.062272881456698716	0.005491	3.41E-4	1.4232	4.72E-4	964.1	0.00671	Global search reduced cost.
1534	164	1	0.06212627192696742	0.005491	3.41E-4	1.4235	4.75E-4	963.8	0.00671	Global search reduced cost.
1543	165	1	0.06195060472233177	0.005491	3.42E-4	1.4239	4.79E-4	963.4	0.0067	Global search reduced cost.
1551	166	1	0.061781195015314594	0.005491	3.42E-4	1.4244	4.84E-4	962.9	0.00669	Global search reduced cost.
1563	167	1	0.061634049064223824	0.005491	3.42E-4	1.425	4.88E-4	962.3	0.00667	Global search reduced cost.
1573	168	1	0.06152628794415961	0.005491	3.41E-4	1.4257	4.93E-4	961.6	0.00666	Global search reduced cost.
1581	169	1	0.06144051622734913	0.005492	3.39E-4	1.4263	4.97E-4	960.8	0.00665	Global search reduced cost.
1590	170	1	0.06140797697885483	0.005493	3.36E-4	1.4268	5.0E-4	959.9	0.00664	Global search reduced cost.
1601	171	1	0.06139188049015231	0.005494	3.34E-4	1.4272	5.04E-4	958.9	0.00663	Global search reduced cost.
1622	172	1	0.06139068356283072	0.005494	3.34E-4	1.4271	5.04E-4	958.8	0.00663	Local search reduced cost.
1634	173	1	0.061389434560488676	0.005494	3.34E-4	1.427	5.04E-4	958.6	0.00663	Global search reduced cost.
1646	174	1	0.06138938174588423	0.005494	3.34E-4	1.427	5.04E-4	958.3	0.00663	Global search reduced cost.
1658	175	1	0.06138931128238476	0.005494	3.34E-4	1.427	5.04E-4	957.9	0.00663	Global search reduced cost.
1670	176	1	0.06138922313217911	0.005494	3.34E-4	1.427	5.04E-4	957.4	0.00663	Global search reduced cost.
1682	177	1	0.06138911724791401	0.005494	3.34E-4	1.427	5.04E-4	956.8	0.00663	Global search reduced cost.
1694	178	1	0.06138899357262169	0.005494	3.34E-4	1.427	5.04E-4	956.1	0.00663	Global search reduced cost.
1706	179	1	0.06138885203966312	0.005494	3.34E-4	1.427	5.04E-4	955.3	0.00663	Global search reduced cost.
1718	180	1	0.06138869257262274	0.005494	3.34E-4	1.427	5.04E-4	954.4	0.00663	Global search reduced cost.
1730	181	1	0.06138851508522251	0.005494	3.34E-4	1.427	5.04E-4	953.4	0.00663	Global search reduced cost.
1742	182	1	0.06138831948119283	0.005494	3.34E-4	1.427	5.04E-4	952.3	0.00663	Global search reduced cost.
1754	183	1	0.061388105654162056	0.005494	3.34E-4	1.427	5.04E-4	951.1	0.00663	Global search reduced cost.
1766	184	1	0.06138787348750322	0.005494	3.34E-4	1.427	5.04E-4	949.8	0.00663	Global search reduced cost.
1778	185	1	0.06138762285418481	0.005494	3.34E-4	1.427	5.04E-4	948.4	0.00663	Global search reduced cost.
1790	186	1	0.0613873536165905	0.005494	3.34E-4	1.427	5.04E-4	946.9	0.00663	Global search reduced cost.
1802	187	1	0.06138706562636007	0.005494	3.34E-4	1.427	5.04E-4	945.3	0.00663	Global search reduced cost.
1814	188	1	0.061386758724149476	0.005494	3.34E-4	1.427	5.04E-4	943.6	0.00663	Global search reduced cost.
1826	189	1	0.061386432739451206	0.005494	3.34E-4	1.427	5.04E-4	941.8	0.00663	Global search reduced cost.
1838	190	1	0.061386087489064545	0.005494	3.34E-4	1.427	5.04E-4	939.9	0.00663	Global search reduced cost.
1850	191	1	0.061382759895527876	0.005494	3.34E-4	1.427	5.04E-4	937.9	0.00663	Global search reduced cost.
1853	192	1	0.061382388739421284	0.005494	3.34E-4	1.427	5.04E-4	935.9	0.00663	Global search reduced cost.
1853	193	1	0.061382388739421284	0.005494	3.34E-4	1.427	5.04E-4	935.9	0.00663	Iteration step did not reduce cost. Reduce step size to '0.25'.
1886	194	1	0.06138238365245657	0.005494	3.34E-4	1.427	5.04E-4	935.875	0.00663	Global search reduced cost.
1898	195	1	0.06138237347781958	0.005494	3.34E-4	1.427	5.04E-4	935.825	0.00663	Global search reduced cost.
1898	196	1	0.06138237347781958	0.005494	3.34E-4	1.427	5.04E-4	935.825	0.00663	Iteration step did not reduce cost. Reduce step size to '0.0625'.
1927	197	1	0.061382372195749116	0.005494	3.34E-4	1.427	5.04E-4	935.8187	0.00663	Global search reduced cost.
1939	198	1	0.06138236964173745	0.005494	3.34E-4	1.427	5.04E-4	935.80615	0.00663	Global search reduced cost.
1939	199	1	0.06138236964173745	0.005494	3.34E-4	1.427	5.04E-4	935.80615	0.00663	Iteration step did not reduce cost. Reduce step size to '0.015625'.
1939	200	1	0.06138236964173745	0.005494	3.34E-4	1.427	5.04E-4	935.80615	0.00663	Iteration step did not reduce cost. Reduce step size to '0.00390625'.
1981	201	1	0.061382369570512234	0.005494	3.34E-4	1.427	5.04E-4	935.8058	0.00663	Global search reduced cost.
1992	202	1	0.061382314080829545	0.005493996	3.34E-4	1.4269996	5.04E-4	935.805	0.006629961	Global search reduced cost.
2000	203	1	0.06138210495006035	0.005493992	3.3399608E-4	1.4269989	5.04E-4	935.80383	0.006629922	Global search reduced cost.
2011	204	1	0.06138190394633898	0.005493988	3.3399215E-4	1.4269979	5.04E-4	935.8023	0.006629883	Global search reduced cost.
2023	205	1	0.061381707236443914	0.005493984	3.3398822E-4	1.4269974	5.04E-4	935.8004	0.006629844	Global search reduced cost.
2042	206	1	0.061379360806747066	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8008	0.006629844	Local search reduced cost.
2042	207	1	0.061379360806747066	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8008	0.006629844	Iteration step did not reduce cost. Reduce step size to '9.765625E-4'.
2074	208	1	0.061379359988397594	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8009	0.006629844	Global search reduced cost.
2086	209	1	0.061379358351680534	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8011	0.006629844	Global search reduced cost.
2086	210	1	0.061379358351680534	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8011	0.006629844	Iteration step did not reduce cost. Reduce step size to '2.44140625E-4'.
2086	211	1	0.061379358351680534	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8011	0.006629844	Iteration step did not reduce cost. Reduce step size to '6.103515625E-5'.
2086	212	1	0.061379358351680534	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8011	0.006629844	Iteration step did not reduce cost. Reduce step size to '1.52587890625E-5'.
2086	213	1	0.061379358351680534	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8011	0.006629844	Iteration step did not reduce cost. Reduce step size to '3.814697265625E-6'.
2086	214	1	0.061379358351680534	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8011	0.006629844	Iteration step did not reduce cost. Reduce step size to '9.5367431640625E-7'.
2086	215	1	0.061379358351680534	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8011	0.006629844	Iteration step did not reduce cost. Maximum number of step reductions reached.
2086	215	1	0.061379358351680534	0.005493984	3.3398822E-4	1.4269971	5.04E-4	935.8011	0.006629844	Minimum point.
