GenOpt(R) Version 3.1.1, March 29, 2016

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2016, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of GPSHookeJeeves algorithm
Start time: Thu Oct 26 09:30:01 EET 2017

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	c1	c2	cs1	cs2	RPar	RSer
70	9	10	1	0.4462140943537826	0.005411	6.95E-4	0.7536	0.003536	253.6	0.00527	Global search reduced cost.
71	10	1	1	0.44541060795251053	0.005412	6.95E-4	0.7544	0.003544	254.4	0.0053	Exploration base, Delta = 1.0.
72	10	2	1	0.44544580081910995	0.005411	6.95E-4	0.7544	0.003544	254.4	0.0053	Cost not reduced at c1-dc1.
73	10	3	1	0.4454223898890248	0.005413	6.95E-4	0.7544	0.003544	254.4	0.0053	Cost not reduced at c1+dc1.
74	10	4	1	0.44540934807431315	0.005412	6.96E-4	0.7544	0.003544	254.4	0.0053	Cost reduced     at c2+dc2.
75	10	5	1	0.44530999842418395	0.005412	6.96E-4	0.7545	0.003544	254.4	0.0053	Cost reduced     at cs1+dcs1.
76	10	6	1	0.44524554916616726	0.005412	6.96E-4	0.7545	0.003545	254.4	0.0053	Cost reduced     at cs2+dcs2.
77	10	7	1	0.4452451133937139	0.005412	6.96E-4	0.7545	0.003545	254.5	0.0053	Cost reduced     at RPar+dRPar.
78	10	8	1	0.4450185181907691	0.005412	6.96E-4	0.7545	0.003545	254.5	0.00529	Cost reduced     at RSer-dRSer.
78	10	9	1	0.4450185181907691	0.005412	6.96E-4	0.7545	0.003545	254.5	0.00529	Global search reduced cost.
79	11	1	1	0.44406993080153595	0.005413	6.97E-4	0.7554	0.003554	255.4	0.00531	Exploration base, Delta = 1.0.
80	11	2	1	0.4440711020321105	0.005412	6.97E-4	0.7554	0.003554	255.4	0.00531	Cost not reduced at c1-dc1.
81	11	3	1	0.44411586759145794	0.005414	6.97E-4	0.7554	0.003554	255.4	0.00531	Cost not reduced at c1+dc1.
82	11	4	1	0.44408030842478374	0.005413	6.98E-4	0.7554	0.003554	255.4	0.00531	Cost not reduced at c2+dc2.
83	11	5	1	0.44406503589469604	0.005413	6.96E-4	0.7554	0.003554	255.4	0.00531	Cost reduced     at c2-dc2.
84	11	6	1	0.44397031177363266	0.005413	6.96E-4	0.7555	0.003554	255.4	0.00531	Cost reduced     at cs1+dcs1.
85	11	7	1	0.44391808743866645	0.005413	6.96E-4	0.7555	0.003555	255.4	0.00531	Cost reduced     at cs2+dcs2.
86	11	8	1	0.4439176374071196	0.005413	6.96E-4	0.7555	0.003555	255.5	0.00531	Cost reduced     at RPar+dRPar.
87	11	9	1	0.4436401242444088	0.005413	6.96E-4	0.7555	0.003555	255.5	0.0053	Cost reduced     at RSer-dRSer.
87	11	10	1	0.4436401242444088	0.005413	6.96E-4	0.7555	0.003555	255.5	0.0053	Global search reduced cost.
88	12	1	1	0.44251868295892416	0.005414	6.96E-4	0.7565	0.003565	256.5	0.00531	Exploration base, Delta = 1.0.
89	12	2	1	0.4425243749286749	0.005413	6.96E-4	0.7565	0.003565	256.5	0.00531	Cost not reduced at c1-dc1.
90	12	3	1	0.4425602602364272	0.005415	6.96E-4	0.7565	0.003565	256.5	0.00531	Cost not reduced at c1+dc1.
91	12	4	1	0.44251531225263935	0.005414	6.95E-4	0.7565	0.003565	256.5	0.00531	Cost reduced     at c2-dc2.
92	12	5	1	0.44242448467976947	0.005414	6.95E-4	0.7566	0.003565	256.5	0.00531	Cost reduced     at cs1+dcs1.
93	12	6	1	0.4423824060318199	0.005414	6.95E-4	0.7566	0.003566	256.5	0.00531	Cost reduced     at cs2+dcs2.
94	12	7	1	0.44238194245861684	0.005414	6.95E-4	0.7566	0.003566	256.6	0.00531	Cost reduced     at RPar+dRPar.
95	12	8	1	0.4420629978251844	0.005414	6.95E-4	0.7566	0.003566	256.6	0.0053	Cost reduced     at RSer-dRSer.
95	12	9	1	0.4420629978251844	0.005414	6.95E-4	0.7566	0.003566	256.6	0.0053	Global search reduced cost.
96	13	1	1	0.44063776453322356	0.005415	6.94E-4	0.7577	0.003577	257.7	0.0053	Exploration base, Delta = 1.0.
97	13	2	1	0.440656636523951	0.005414	6.94E-4	0.7577	0.003577	257.7	0.0053	Cost not reduced at c1-dc1.
98	13	3	1	0.4406663666480713	0.005416	6.94E-4	0.7577	0.003577	257.7	0.0053	Cost not reduced at c1+dc1.
99	13	4	1	0.44063886737910835	0.005415	6.93E-4	0.7577	0.003577	257.7	0.0053	Cost not reduced at c2-dc2.
100	13	5	1	0.44064218701297564	0.005415	6.95E-4	0.7577	0.003577	257.7	0.0053	Cost not reduced at c2+dc2.
101	13	6	1	0.4405501311677748	0.005415	6.94E-4	0.7578	0.003577	257.7	0.0053	Cost reduced     at cs1+dcs1.
102	13	7	1	0.4405160560818545	0.005415	6.94E-4	0.7578	0.003578	257.7	0.0053	Cost reduced     at cs2+dcs2.
103	13	8	1	0.44051558552166303	0.005415	6.94E-4	0.7578	0.003578	257.8	0.0053	Cost reduced     at RPar+dRPar.
104	13	9	1	0.44016438620482595	0.005415	6.94E-4	0.7578	0.003578	257.8	0.00529	Cost reduced     at RSer-dRSer.
104	13	10	1	0.44016438620482595	0.005415	6.94E-4	0.7578	0.003578	257.8	0.00529	Global search reduced cost.
105	14	1	1	0.43837031212993377	0.005416	6.93E-4	0.759	0.00359	259.0	0.00528	Exploration base, Delta = 1.0.
106	14	2	1	0.43837861891912744	0.005415	6.93E-4	0.759	0.00359	259.0	0.00528	Cost not reduced at c1-dc1.
107	14	3	1	0.43840973341958495	0.005417	6.93E-4	0.759	0.00359	259.0	0.00528	Cost not reduced at c1+dc1.
108	14	4	1	0.4383677819397007	0.005416	6.92E-4	0.759	0.00359	259.0	0.00528	Cost reduced     at c2-dc2.
109	14	5	1	0.4382828667927026	0.005416	6.92E-4	0.7591	0.00359	259.0	0.00528	Cost reduced     at cs1+dcs1.
110	14	6	1	0.438255539060985	0.005416	6.92E-4	0.7591	0.003591	259.0	0.00528	Cost reduced     at cs2+dcs2.
111	14	7	1	0.4382550600425035	0.005416	6.92E-4	0.7591	0.003591	259.1	0.00528	Cost reduced     at RPar+dRPar.
112	14	8	1	0.43787705650492376	0.005416	6.92E-4	0.7591	0.003591	259.1	0.00527	Cost reduced     at RSer-dRSer.
112	14	9	1	0.43787705650492376	0.005416	6.92E-4	0.7591	0.003591	259.1	0.00527	Global search reduced cost.
113	15	1	1	0.43565769518316455	0.005417	6.9E-4	0.7604	0.003604	260.4	0.00525	Exploration base, Delta = 1.0.
114	15	2	1	0.43568043586136773	0.005416	6.9E-4	0.7604	0.003604	260.4	0.00525	Cost not reduced at c1-dc1.
115	15	3	1	0.4356829962988271	0.005418	6.9E-4	0.7604	0.003604	260.4	0.00525	Cost not reduced at c1+dc1.
116	15	4	1	0.4356600540931793	0.005417	6.89E-4	0.7604	0.003604	260.4	0.00525	Cost not reduced at c2-dc2.
117	15	5	1	0.43566092767294146	0.005417	6.91E-4	0.7604	0.003604	260.4	0.00525	Cost not reduced at c2+dc2.
118	15	6	1	0.43557478196198635	0.005417	6.9E-4	0.7605	0.003604	260.4	0.00525	Cost reduced     at cs1+dcs1.
119	15	7	1	0.43555205902420985	0.005417	6.9E-4	0.7605	0.003605	260.4	0.00525	Cost reduced     at cs2+dcs2.
120	15	8	1	0.43555157782099646	0.005417	6.9E-4	0.7605	0.003605	260.5	0.00525	Cost reduced     at RPar+dRPar.
121	15	9	1	0.4351559188022438	0.005417	6.9E-4	0.7605	0.003605	260.5	0.00524	Cost reduced     at RSer-dRSer.
121	15	10	1	0.4351559188022438	0.005417	6.9E-4	0.7605	0.003605	260.5	0.00524	Global search reduced cost.
122	16	1	1	0.4324752877331453	0.005418	6.88E-4	0.7619	0.003619	261.9	0.00521	Exploration base, Delta = 1.0.
123	16	2	1	0.43248844341303394	0.005417	6.88E-4	0.7619	0.003619	261.9	0.00521	Cost not reduced at c1-dc1.
124	16	3	1	0.4325105498448002	0.005419	6.88E-4	0.7619	0.003619	261.9	0.00521	Cost not reduced at c1+dc1.
125	16	4	1	0.4324743343015192	0.005418	6.87E-4	0.7619	0.003619	261.9	0.00521	Cost reduced     at c2-dc2.
126	16	5	1	0.4323929377096188	0.005418	6.87E-4	0.762	0.003619	261.9	0.00521	Cost reduced     at cs1+dcs1.
127	16	6	1	0.4323735584771014	0.005418	6.87E-4	0.762	0.00362	261.9	0.00521	Cost reduced     at cs2+dcs2.
128	16	7	1	0.43237307346512466	0.005418	6.87E-4	0.762	0.00362	262.0	0.00521	Cost reduced     at RPar+dRPar.
129	16	8	1	0.4319652454660086	0.005418	6.87E-4	0.762	0.00362	262.0	0.0052	Cost reduced     at RSer-dRSer.
129	16	9	1	0.4319652454660086	0.005418	6.87E-4	0.762	0.00362	262.0	0.0052	Global search reduced cost.
130	17	1	1	0.4287992744828801	0.005419	6.84E-4	0.7635	0.003635	263.5	0.00516	Exploration base, Delta = 1.0.
131	17	2	1	0.4288282031301045	0.005418	6.84E-4	0.7635	0.003635	263.5	0.00516	Cost not reduced at c1-dc1.
132	17	3	1	0.42881920910524185	0.00542	6.84E-4	0.7635	0.003635	263.5	0.00516	Cost not reduced at c1+dc1.
133	17	4	1	0.4288036522005012	0.005419	6.83E-4	0.7635	0.003635	263.5	0.00516	Cost not reduced at c2-dc2.
134	17	5	1	0.4288005837780762	0.005419	6.85E-4	0.7635	0.003635	263.5	0.00516	Cost not reduced at c2+dc2.
135	17	6	1	0.42871866670547754	0.005419	6.84E-4	0.7636	0.003635	263.5	0.00516	Cost reduced     at cs1+dcs1.
136	17	7	1	0.428700453939662	0.005419	6.84E-4	0.7636	0.003636	263.5	0.00516	Cost reduced     at cs2+dcs2.
137	17	8	1	0.4286999712264233	0.005419	6.84E-4	0.7636	0.003636	263.6	0.00516	Cost reduced     at RPar+dRPar.
138	17	9	1	0.4282893376107075	0.005419	6.84E-4	0.7636	0.003636	263.6	0.00515	Cost reduced     at RSer-dRSer.
138	17	10	1	0.4282893376107075	0.005419	6.84E-4	0.7636	0.003636	263.6	0.00515	Global search reduced cost.
139	18	1	1	0.4246312364564996	0.00542	6.81E-4	0.7652	0.003652	265.2	0.0051	Exploration base, Delta = 1.0.
140	18	2	1	0.4246514895824757	0.005419	6.81E-4	0.7652	0.003652	265.2	0.0051	Cost not reduced at c1-dc1.
141	18	3	1	0.42466036357822423	0.005421	6.81E-4	0.7652	0.003652	265.2	0.0051	Cost not reduced at c1+dc1.
142	18	4	1	0.4246325962676906	0.00542	6.8E-4	0.7652	0.003652	265.2	0.0051	Cost not reduced at c2-dc2.
143	18	5	1	0.4246356238302359	0.00542	6.82E-4	0.7652	0.003652	265.2	0.0051	Cost not reduced at c2+dc2.
144	18	6	1	0.42455068085443964	0.00542	6.81E-4	0.7653	0.003652	265.2	0.0051	Cost reduced     at cs1+dcs1.
145	18	7	1	0.42453141201198735	0.00542	6.81E-4	0.7653	0.003653	265.2	0.0051	Cost reduced     at cs2+dcs2.
146	18	8	1	0.4245309376519418	0.00542	6.81E-4	0.7653	0.003653	265.3	0.0051	Cost reduced     at RPar+dRPar.
147	18	9	1	0.4241271340059703	0.00542	6.81E-4	0.7653	0.003653	265.3	0.00509	Cost reduced     at RSer-dRSer.
147	18	10	1	0.4241271340059703	0.00542	6.81E-4	0.7653	0.003653	265.3	0.00509	Global search reduced cost.
148	19	1	1	0.41998974557976454	0.005421	6.78E-4	0.767	0.00367	267.0	0.00503	Exploration base, Delta = 1.0.
149	19	2	1	0.41999305480012933	0.00542	6.78E-4	0.767	0.00367	267.0	0.00503	Cost not reduced at c1-dc1.
150	19	3	1	0.420036406218859	0.005422	6.78E-4	0.767	0.00367	267.0	0.00503	Cost not reduced at c1+dc1.
151	19	4	1	0.4199852584068611	0.005421	6.77E-4	0.767	0.00367	267.0	0.00503	Cost reduced     at c2-dc2.
152	19	5	1	0.4199042531065951	0.005421	6.77E-4	0.7671	0.00367	267.0	0.00503	Cost reduced     at cs1+dcs1.
153	19	6	1	0.41988257103011883	0.005421	6.77E-4	0.7671	0.003671	267.0	0.00503	Cost reduced     at cs2+dcs2.
154	19	7	1	0.419882103371305	0.005421	6.77E-4	0.7671	0.003671	267.1	0.00503	Cost reduced     at RPar+dRPar.
155	19	8	1	0.41937731328117434	0.005421	6.77E-4	0.7671	0.003671	267.1	0.00502	Cost reduced     at RSer-dRSer.
155	19	9	1	0.41937731328117434	0.005421	6.77E-4	0.7671	0.003671	267.1	0.00502	Global search reduced cost.
156	20	1	1	0.41484158175637487	0.005422	6.73E-4	0.7689	0.003689	268.9	0.00495	Exploration base, Delta = 1.0.
157	20	2	1	0.41485409066487605	0.005421	6.73E-4	0.7689	0.003689	268.9	0.00495	Cost not reduced at c1-dc1.
158	20	3	1	0.41493159411563746	0.005423	6.73E-4	0.7689	0.003689	268.9	0.00495	Cost not reduced at c1+dc1.
159	20	4	1	0.41484015774187216	0.005422	6.72E-4	0.7689	0.003689	268.9	0.00495	Cost reduced     at c2-dc2.
160	20	5	1	0.4147581559674577	0.005422	6.72E-4	0.769	0.003689	268.9	0.00495	Cost reduced     at cs1+dcs1.
161	20	6	1	0.4147327177387946	0.005422	6.72E-4	0.769	0.00369	268.9	0.00495	Cost reduced     at cs2+dcs2.
162	20	7	1	0.4147322549194932	0.005422	6.72E-4	0.769	0.00369	269.0	0.00495	Cost reduced     at RPar+dRPar.
163	20	8	1	0.41435884209142493	0.005422	6.72E-4	0.769	0.00369	269.0	0.00494	Cost reduced     at RSer-dRSer.
163	20	9	1	0.41435884209142493	0.005422	6.72E-4	0.769	0.00369	269.0	0.00494	Global search reduced cost.
164	21	1	1	0.4094336330847969	0.005423	6.67E-4	0.7709	0.003709	270.9	0.00486	Exploration base, Delta = 1.0.
165	21	2	1	0.40946303142648066	0.005422	6.67E-4	0.7709	0.003709	270.9	0.00486	Cost not reduced at c1-dc1.
166	21	3	1	0.40945110268990675	0.005424	6.67E-4	0.7709	0.003709	270.9	0.00486	Cost not reduced at c1+dc1.
167	21	4	1	0.4094378893125383	0.005423	6.66E-4	0.7709	0.003709	270.9	0.00486	Cost not reduced at c2-dc2.
168	21	5	1	0.40943535565265066	0.005423	6.68E-4	0.7709	0.003709	270.9	0.00486	Cost not reduced at c2+dc2.
169	21	6	1	0.4093497223854469	0.005423	6.67E-4	0.771	0.003709	270.9	0.00486	Cost reduced     at cs1+dcs1.
170	21	7	1	0.4093174724123033	0.005423	6.67E-4	0.771	0.00371	270.9	0.00486	Cost reduced     at cs2+dcs2.
171	21	8	1	0.4093170221551501	0.005423	6.67E-4	0.771	0.00371	271.0	0.00486	Cost reduced     at RPar+dRPar.
172	21	9	1	0.4089482318004722	0.005423	6.67E-4	0.771	0.00371	271.0	0.00485	Cost reduced     at RSer-dRSer.
172	21	10	1	0.4089482318004722	0.005423	6.67E-4	0.771	0.00371	271.0	0.00485	Global search reduced cost.
173	22	1	1	0.40359233766451574	0.005424	6.62E-4	0.773	0.00373	273.0	0.00476	Exploration base, Delta = 1.0.
174	22	2	1	0.40361264999152374	0.005423	6.62E-4	0.773	0.00373	273.0	0.00476	Cost not reduced at c1-dc1.
175	22	3	1	0.4036242056569632	0.005425	6.62E-4	0.773	0.00373	273.0	0.00476	Cost not reduced at c1+dc1.
176	22	4	1	0.40359340298119034	0.005424	6.61E-4	0.773	0.00373	273.0	0.00476	Cost not reduced at c2-dc2.
177	22	5	1	0.40359734544030623	0.005424	6.63E-4	0.773	0.00373	273.0	0.00476	Cost not reduced at c2+dc2.
178	22	6	1	0.40350568170743684	0.005424	6.62E-4	0.7731	0.00373	273.0	0.00476	Cost reduced     at cs1+dcs1.
179	22	7	1	0.40346395019799886	0.005424	6.62E-4	0.7731	0.003731	273.0	0.00476	Cost reduced     at cs2+dcs2.
180	22	8	1	0.40346351885360904	0.005424	6.62E-4	0.7731	0.003731	273.1	0.00476	Cost reduced     at RPar+dRPar.
181	22	9	1	0.40316715220886995	0.005424	6.62E-4	0.7731	0.003731	273.1	0.00475	Cost reduced     at RSer-dRSer.
181	22	10	1	0.40316715220886995	0.005424	6.62E-4	0.7731	0.003731	273.1	0.00475	Global search reduced cost.
182	23	1	1	0.3976109858486869	0.005425	6.57E-4	0.7752	0.003752	275.2	0.00465	Exploration base, Delta = 1.0.
183	23	2	1	0.39761396147456773	0.005424	6.57E-4	0.7752	0.003752	275.2	0.00465	Cost not reduced at c1-dc1.
184	23	3	1	0.39766104988829093	0.005426	6.57E-4	0.7752	0.003752	275.2	0.00465	Cost not reduced at c1+dc1.
185	23	4	1	0.39760603980770537	0.005425	6.56E-4	0.7752	0.003752	275.2	0.00465	Cost reduced     at c2-dc2.
186	23	5	1	0.39751639999245414	0.005425	6.56E-4	0.7753	0.003752	275.2	0.00465	Cost reduced     at cs1+dcs1.
187	23	6	1	0.39746406724454697	0.005425	6.56E-4	0.7753	0.003753	275.2	0.00465	Cost reduced     at cs2+dcs2.
188	23	7	1	0.39746365294053726	0.005425	6.56E-4	0.7753	0.003753	275.3	0.00465	Cost reduced     at RPar+dRPar.
189	23	8	1	0.3972064252169387	0.005425	6.56E-4	0.7753	0.003753	275.3	0.00464	Cost reduced     at RSer-dRSer.
